State (Emission order)	H2az	H3k34me3	H3k9ac	H3k27ac	H3k4me2	H3k4me1	H3k79me2	H3k36me3	H3k9me1	H3k27me3
1	0.002166565450783496	9.82068865546005E-5	1.4335586189978967E-4	0.0012845005522273496	1.737208963518629E-4	5.896264303745609E-4	1.9196332933870002E-4	0.0010216125937042124	0.0014195898088475354	0.0037224537349646505
2	0.0045454936752270065	8.005998405225417E-5	3.136290720457462E-4	0.0013409287712797546	6.719100883770718E-4	0.001967087412139723	5.838309872480479E-5	3.7832687789038616E-4	0.002746957388606547	0.3597096930086425
3	0.3948926212103014	0.39348278302020945	0.06961916065222618	0.05661581031184518	0.44987545079519425	0.2754604252255642	0.025604390488381215	0.344062330064412	0.18825528241070225	0.815796153875105
4	0.7334928039504327	0.2459048756226961	0.08422096332637778	0.018500399028754763	0.3233403115092056	0.18223313867340196	0.014202814332939902	3.508231492551173E-4	7.787754954212448E-4	0.011926254748289558
5	0.6513885431834473	0.9895767746365192	0.9373223329544573	0.6925101818473389	0.8243178464444813	0.3455941874843765	0.5767007958122014	0.01696848135780713	0.0013823973250853233	0.0020940613978050276
6	0.4313998863962414	0.19525810481144537	0.5894034967559066	0.9321182684460485	0.8544849943143672	0.9666552511034768	0.02949177228511624	0.011257825392986323	0.005324593739508018	1.7932991562356036E-4
7	0.13710714348241668	9.162501368331873E-4	0.012518252551140599	0.18536302892716952	0.1932050627481399	0.7597857784358355	0.011458936365406767	0.018691018293906743	0.007116121280366745	0.0018543901900310656
8	0.02295106136775493	0.1486597313056215	0.13621048808230252	0.35322588595512233	0.5290945260759602	0.877567384740293	0.8710401330233268	0.14928256440692914	0.026663990335577138	1.832779740394073E-4
9	0.0011977741224687682	2.30773150395445E-4	0.0013447840241665955	0.013621966994164458	0.005311251522591317	0.03882067243370037	0.6946685918195992	0.11169318516418618	0.01422192376076261	1.5309434077959738E-4
10	6.018947387516501E-4	3.4375916113684504E-4	8.960348221063194E-4	0.008862313672677636	5.235967430980925E-4	0.0047847819540939255	0.041080079190782263	0.19267653016598987	0.00684078716900907	6.995139185240944E-4
