State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9901122076215616	0.0032507049027681563	1.210742147724455E-6	0.0016864919217775055	3.504242911526267E-5	4.157032017846397E-5	0.00418622608281181	0.0	4.7593917610983525E-5	6.389520620285977E-4
2	0.0469245736384513	0.9458755904723593	0.003248849147120646	0.0035055109043610915	0.0	0.0	4.433272348417684E-4	0.0	2.148602865854445E-6	0.0
3	5.7315618518774124E-5	0.1532152149645633	0.6784309214198414	0.08287171651301099	0.00412065997211821	9.55207184933447E-5	0.003121516529433284	0.0	7.762273159971727E-5	0.07800951153242092
4	0.18682259568212256	0.027596754081234066	0.011990067620686542	0.6468175642196613	0.10558627970492104	0.0033821672788315305	0.01551210338789118	7.290536474157597E-5	0.0013451920386739543	8.743706212364434E-4
5	0.0030395874214036735	0.0	6.090716139544614E-4	0.10150523426012797	0.8224100742405819	0.012658860645511638	0.004176217194620545	0.05210923061036263	0.002649404930890761	8.423190825464353E-4
6	0.003899372353236861	0.0	2.710510066319595E-5	0.0021198319345278687	0.0093604976034942	0.7769328028119735	0.1905998490813072	0.016370729478352025	2.2915798863966304E-8	6.897887206463233E-4
7	0.16861599536744315	0.00117129852024257	1.662778324028528E-4	0.005939692866027103	0.0015058369018674234	0.08901168050630262	0.6935817294822159	0.004366123531662476	0.0023995360441394584	0.033241828947696644
8	0.0	0.0	0.0	2.7977880963786777E-6	0.04540005968185805	0.01752641788740851	0.010724663493929198	0.7946803674826971	0.12718331088179602	0.004482382784214761
9	0.0011153492454159051	0.0	5.81880595203678E-6	2.185878666918227E-4	5.363413188529004E-4	0.0	0.0015810722935469521	0.031060761667990235	0.9399260056234136	0.025556063178136638
10	0.007690786195732497	0.0	0.0013024974220114049	1.0396584366330534E-4	7.542200300380928E-5	9.318022450302399E-5	0.00949603221429259	5.599682883540825E-4	0.012358899941650094	0.9683192478667895
